"","Brand","Brewery","PercentAlcohol","Calories","Carbohydrates"
"1","Anchor Steam","Anchor",4.9,153,16
"2","Anheuser Busch Natural Light","Anheuser Busch",4.2,95,3.2
"3","Anheuser Busch Natural Ice","Anheuser Busch",5.9,157,8.9
"4","Aspen Edge","Adolph Coors",4.1,94,2.6
"5","Blatz Beer","Pabst",4.8,153,12.5
"6","Blue Moon","Adolph Coors",5.4,171,13.7
"7","Bud Dry","Anheuser Busch",5,130,7.8
"8","Bud Ice","Anheuser Busch",5.5,148,8.9
"9","Bud Ice Light","Anheuser Busch",4.1,110,6.5
"10","Bud Light","Anheuser Busch",4.2,110,6.6
"11","Budweiser","Anheuser Busch",5,145,10.6
"12","Budweiser Select","Anheuser Busch",4.3,99,3.1
"13","Busch Beer","Anheuser Busch",4.6,133,10.2
"14","Busch Ice","Anheuser Busch",5.9,169,12.5
"15","Busch Light","Anheuser Busch",4.2,110,6.7
"16","Carling Black Label","G. Heileman",4.3,138,12.5
"17","Colt 45 Malt Liquor","G. Heileman",6.1,174,11.1
"18","Coors Banquet Beer","Adolph Coors",5,142,10.6
"19","Coors Light","Adolph Coors",4.2,102,5
"20","Genesee Beer","High Falls Brewing",4.5,148,13.5
"21","Genesee Cream Ale","High Falls Brewing",5.1,162,15
"22","Genesee Ice","High Falls Brewing",5.9,156,14.5
"23","Genesee Red","High Falls Brewing",4.9,148,14
"24","George Killian's Irish Red","Adolph Coors",4.9,163,13.8
"25","Icehouse","Miller",5,132,8.7
"26","Hamm's Beer","Miller",4.7,144,12.1
"27","Hamm's Golden Draft","Miller",4.7,144,12.1
"28","Hamm's Special Light","Miller",4.1,110,7.3
"29","Keystone Premium","Adolph Coors",4.4,108,5
"30","Keystone Light","Adolph Coors",4.2,104,5.1
"31","Keystone Ice","Adolph Coors",5.9,143,6.6
"32","Leinenkugel Honey Weiss","Leinenkugel",4.9,149,12
"33","Leinenkugel Northwoods Lager","Leinenkugel",4.9,163,15.3
"34","Leinenkugel Original","Leinenkugel",4.7,152,13.9
"35","Leinenkugel Creamy Dark","Leinenkugel",4.9,170,16.8
"36","Leinenkugel Red","Leinenkugel",4.9,166,16.2
"37","Leinenkugel Light","Leinenkugel",4.2,105,5.7
"38","Leinenkugel Amber Light","Leinenkugel",4.1,110,7.4
"39","Magnum Malt Liquor","Miller",5.6,157,11.2
"40","Michael Shea's","High Falls Brewing",4.6,145,13
"41","Michelob Amber Boch","Anheuser Busch",5.2,166,15
"42","Michelob Beer","Anheuser Busch",5,155,13.3
"43","Michelob Golden Draft","Anheuser Busch",4.7,152,14.1
"44","Michelob Golden Draft Light","Anheuser Busch",4.1,110,7
"45","Michelob Honey Lager","Anheuser Busch",4.9,175,17.9
"46","Michelob Light","Anheuser Busch",4.3,113,6.7
"47","Michelob Ultra","Anheuser Busch",4.1,95,2.6
"48","Mickey's Fine Malt Liquor","Miller",5.6,157,11.2
"49","Miller Genuine Draft","Miller",4.7,143,13.1
"50","Miller Genuine Draft Light","Miller",4.2,110,7
"51","Miller High Life","Miller",4.7,143,13.1
"52","Miller High Life Light","Miller",4.2,110,7
"53","Miller Lite","Miller",4.2,96,3.2
"54","Milwaukee's Best","Miller",4.5,128,11.4
"55","Milwaukee's Best Light","Miller",4.5,98,3.5
"56","Milwaukee's Best Ice","Miller",5.9,144,7.3
"57","O'Doul's","Anheuser Busch",0.4,70,13.3
"58","Old Milwaukee Light","Stroh",3.8,114,8.3
"59","Old Milwaukee Beer","Stroh",4.5,146,12.9
"60","Olde English 800 Malt Liquor","Miller",5.9,160,10.5
"61","Olympia Premium Lager","Pabst",4.7,146,11.9
"62","Pabst Blue Ribbon","Pabst",5,153,12
"63","Red Hook ESB","Red Hook",5.8,179,14.2
"64","Red Hook IPA","Red Hook",6.5,188,12.7
"65","Rolling Rock Premium Beer","Latrobe",4.5,120,10
"66","Sam Adams Boston Lager","Boston Beer",4.8,160,18
"67","Sam Adams Boston Ale","Boston Beer",4.9,160,19.9
"68","Sam Adams Cherry Wheat","Boston Beer",5.2,166,16.9
"69","Sam Adams Cream Stout","Boston Beer",4.7,195,23.9
"70","Schaefer Beer","Pabst",4.6,142,12
"71","Schlitz Beer","Pabst",4.7,146,12.1
"72","Sierra Nevada Pale Ale","Sierra Nevada",5.6,200,12.3
"73","Sierra Nevada Porter","Sierra Nevada",5.6,200,15.7
"74","Sierra Nevada Stout","Sierra Nevada",5.8,210,19.4
"75","Stroh's Beer","Pabst",4.6,149,12
"76","Stroh's Light","Pabst",4.4,113,7
"77","Winehard's Private Reserve","Miller",4.8,150,9.9
"78","Winehard's Amber Light","Miller",4.2,135,11.5
"79","Winehard's Hefeweizen","Miller",4.9,151,12.2
"80","Winehard's Blonde Lager","Miller",5.1,161,14
"81","Winehard's Pale Ale","Miller",4.6,147,13
"82","Yuengling Ale","D. G. Yuengling",5,145,10
"83","Yuengling Porter","D. G. Yuengling",4.5,150,14
"84","Yuengling Premium Beer","D. G. Yuengling",4.4,135,12
"85","Yuengling Light","D. G. Yuengling",3.8,98,6.6
"86","Yuengling Lager","D. G. Yuengling",4.4,135,12
